#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVR1B	SMAD4	9606.ENSP00000442656	9606.ENSP00000341551	0	0	0	0	0.062	0.091	0.500	0.911	0.957
ACVR1B	ALK	9606.ENSP00000442656	9606.ENSP00000373700	0	0	0	0	0.043	0.092	0	0.929	0.932
AFDN	KRAS	9606.ENSP00000355771	9606.ENSP00000256078	0	0	0	0	0.056	0.252	0.900	0.314	0.945
AFDN	HRAS	9606.ENSP00000355771	9606.ENSP00000407586	0	0	0	0	0	0.966	0.900	0.678	0.998
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0.121	0.797	0.900	0.842	0.996
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	CDH1	9606.ENSP00000451828	9606.ENSP00000261769	0	0	0	0	0	0.165	0	0.889	0.903
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0.066	0.821	0	0.749	0.954
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0	0	0	0.049	0.477	0.900	0.736	0.985
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.049	0.883	0.900	0.996	0.999
AKT1	SMAD4	9606.ENSP00000451828	9606.ENSP00000341551	0	0	0	0	0.085	0.636	0	0.763	0.914
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.060	0.925	0.900	0.954	0.999
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0	0.648	0	0.967	0.988
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	MAP2K4	9606.ENSP00000451828	9606.ENSP00000410402	0	0	0	0.593	0.103	0.542	0.900	0.257	0.965
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0	0	0	0	0.735	0.900	0.786	0.993
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.058	0.558	0.900	0.913	0.995
ALK	KRAS	9606.ENSP00000373700	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0.900	0.886	0.989
ALK	PIK3CA	9606.ENSP00000373700	9606.ENSP00000263967	0	0	0	0	0	0.069	0.900	0.801	0.979
ALK	JAK2	9606.ENSP00000373700	9606.ENSP00000371067	0	0	0	0.562	0	0.162	0.900	0.307	0.936
ALK	JAK1	9606.ENSP00000373700	9606.ENSP00000499900	0	0	0	0.561	0	0	0.900	0.465	0.944
ALK	HRAS	9606.ENSP00000373700	9606.ENSP00000407586	0	0	0	0	0.074	0.110	0.900	0.638	0.966
ALK	PIK3R1	9606.ENSP00000373700	9606.ENSP00000428056	0	0	0	0	0	0.378	0.900	0.606	0.973
AR	FOXA1	9606.ENSP00000363822	9606.ENSP00000250448	0	0	0	0	0.083	0.761	0	0.987	0.996
AR	CREBBP	9606.ENSP00000363822	9606.ENSP00000262367	0	0	0	0	0.042	0.794	0	0.815	0.960
AR	EP300	9606.ENSP00000363822	9606.ENSP00000263253	0	0	0	0	0.043	0.843	0	0.710	0.952
AR	NCOR1	9606.ENSP00000363822	9606.ENSP00000268712	0	0	0	0	0.043	0.883	0.500	0.868	0.991
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	HSP90AA1	9606.ENSP00000363822	9606.ENSP00000335153	0	0	0	0	0.054	0.901	0.900	0.990	0.999
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0.773	0.908
AR	NCOR2	9606.ENSP00000363822	9606.ENSP00000384018	0	0	0	0	0	0.848	0.500	0.659	0.971
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
ARHGEF12	KRAS	9606.ENSP00000380942	9606.ENSP00000256078	0	0	0	0	0.049	0.134	0.900	0.132	0.919
ARHGEF12	CD209	9606.ENSP00000380942	9606.ENSP00000315477	0	0	0	0	0	0	0.900	0.430	0.940
ARHGEF12	HRAS	9606.ENSP00000380942	9606.ENSP00000407586	0	0	0	0	0	0.134	0.900	0.112	0.916
ARID1A	PIK3CA	9606.ENSP00000320485	9606.ENSP00000263967	0	0	0	0	0.067	0	0	0.911	0.913
ARID1A	TP53	9606.ENSP00000320485	9606.ENSP00000269305	0	0	0	0	0.067	0.292	0	0.945	0.961
ARID1A	ARID1B	9606.ENSP00000320485	9606.ENSP00000490491	0	0	0	0.927	0.437	0.846	0.900	0.983	0.999
ARID1A	SMARCD1	9606.ENSP00000320485	9606.ENSP00000378414	0	0	0	0	0.141	0.992	0.900	0.994	0.999
ARID1B	SMARCD1	9606.ENSP00000490491	9606.ENSP00000378414	0	0	0	0	0.049	0.935	0.900	0.788	0.998
ASXL1	DNMT3A	9606.ENSP00000364839	9606.ENSP00000264709	0	0	0	0	0.042	0.091	0	0.936	0.939
ASXL1	BAP1	9606.ENSP00000364839	9606.ENSP00000417132	0	0	0	0	0.083	0.922	0.900	0.990	0.999
ATM	EP300	9606.ENSP00000278616	9606.ENSP00000263253	0	0	0	0	0.074	0	0	0.900	0.904
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0.975	0.999
ATM	PPM1D	9606.ENSP00000278616	9606.ENSP00000306682	0	0	0	0	0	0	0	0.924	0.924
ATM	POLD1	9606.ENSP00000278616	9606.ENSP00000472445	0	0	0	0	0.057	0	0.900	0.613	0.960
ATM	CASP8	9606.ENSP00000278616	9606.ENSP00000351273	0	0	0	0	0.197	0	0.900	0.560	0.961
ATM	BRCA2	9606.ENSP00000278616	9606.ENSP00000369497	0	0	0	0	0.048	0.313	0.800	0.971	0.995
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0.042	0.847	0.900	0.999	0.999
ATM	CHEK2	9606.ENSP00000278616	9606.ENSP00000372023	0	0	0	0	0.044	0.836	0.500	0.999	0.999
BAP1	BRCA1	9606.ENSP00000417132	9606.ENSP00000418960	0	0	0	0	0	0.292	0.500	0.987	0.995
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0	0	0	0.081	0.870	0.900	0.973	0.999
BRAF	PIK3CA	9606.ENSP00000419060	9606.ENSP00000263967	0	0	0	0	0.128	0.190	0	0.931	0.947
BRAF	HSP90AA1	9606.ENSP00000419060	9606.ENSP00000335153	0	0	0	0	0	0.784	0	0.933	0.984
BRAF	NF1	9606.ENSP00000419060	9606.ENSP00000351015	0	0	0	0	0.067	0.092	0	0.895	0.903
BRAF	PTEN	9606.ENSP00000419060	9606.ENSP00000361021	0	0	0	0	0.094	0.206	0	0.927	0.943
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0	0	0	0.074	0.921	0.900	0.952	0.999
BRCA1	CREBBP	9606.ENSP00000418960	9606.ENSP00000262367	0	0	0	0	0.061	0.833	0	0.814	0.968
BRCA1	EP300	9606.ENSP00000418960	9606.ENSP00000263253	0	0	0	0	0.068	0.820	0	0.928	0.986
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0.067	0.895	0.500	0.999	0.999
BRCA1	ERBB2	9606.ENSP00000418960	9606.ENSP00000269571	0	0	0	0	0	0	0	0.918	0.918
BRCA1	BRCA2	9606.ENSP00000418960	9606.ENSP00000369497	0	0	0	0	0.383	0.896	0.900	0.999	0.999
BRCA1	CHEK2	9606.ENSP00000418960	9606.ENSP00000372023	0	0	0	0	0.218	0.842	0.500	0.997	0.999
BRCA1	ESR1	9606.ENSP00000418960	9606.ENSP00000405330	0	0	0	0	0	0.904	0	0.995	0.999
BRCA1	POLD1	9606.ENSP00000418960	9606.ENSP00000472445	0	0	0	0	0.189	0.421	0.540	0.743	0.937
BRCA2	TP53	9606.ENSP00000369497	9606.ENSP00000269305	0	0	0	0	0.066	0.828	0	0.974	0.995
BRCA2	CHEK2	9606.ENSP00000369497	9606.ENSP00000372023	0	0	0	0	0.100	0.532	0	0.968	0.985
CASP8	TP53	9606.ENSP00000351273	9606.ENSP00000269305	0	0	0	0	0.086	0.292	0.900	0.879	0.991
CASP8	CYLD	9606.ENSP00000351273	9606.ENSP00000392025	0	0	0	0	0.071	0.304	0.900	0.625	0.972
CBFB	RUNX1	9606.ENSP00000415151	9606.ENSP00000300305	0	0	0	0	0.048	0.995	0.900	0.999	0.999
CBFB	MYH11	9606.ENSP00000415151	9606.ENSP00000379616	0	0	0	0	0	0	0	0.978	0.978
CDH1	PTEN	9606.ENSP00000261769	9606.ENSP00000361021	0	0	0	0	0.053	0	0	0.929	0.930
CDH1	ERBB2	9606.ENSP00000261769	9606.ENSP00000269571	0	0	0	0	0.139	0.108	0	0.964	0.970
CDH1	EGFR	9606.ENSP00000261769	9606.ENSP00000275493	0	0	0	0	0.055	0.815	0	0.995	0.999
CDKN1B	CDKN2A	9606.ENSP00000228872	9606.ENSP00000418915	0	0	0	0	0	0.049	0.500	0.865	0.930
CDKN1B	TP53	9606.ENSP00000228872	9606.ENSP00000269305	0	0	0	0	0	0.076	0.900	0.911	0.991
CDKN2A	KRAS	9606.ENSP00000418915	9606.ENSP00000256078	0	0	0	0	0.055	0.102	0.900	0.917	0.992
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0.970	0.999
CDKN2A	EGFR	9606.ENSP00000418915	9606.ENSP00000275493	0	0	0	0	0.069	0.045	0	0.906	0.910
CDKN2A	PTEN	9606.ENSP00000418915	9606.ENSP00000361021	0	0	0	0	0.053	0.188	0	0.908	0.923
CDKN2A	HRAS	9606.ENSP00000418915	9606.ENSP00000407586	0	0	0	0	0.055	0.160	0.900	0.893	0.990
CHEK2	TP53	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.072	0.833	0.750	0.992	0.999
CHEK2	PPM1D	9606.ENSP00000372023	9606.ENSP00000306682	0	0	0	0	0.049	0.555	0	0.822	0.918
CREBBP	H3C2	9606.ENSP00000262367	9606.ENSP00000484841	0	0	0	0	0	0.902	0	0.177	0.916
CREBBP	SMAD4	9606.ENSP00000262367	9606.ENSP00000341551	0	0	0	0	0.191	0.316	0	0.862	0.917
CREBBP	NCOR1	9606.ENSP00000262367	9606.ENSP00000268712	0	0	0	0	0.335	0.304	0.500	0.800	0.947
CREBBP	RUNX1	9606.ENSP00000262367	9606.ENSP00000300305	0	0	0	0	0	0.512	0.500	0.916	0.977
CREBBP	ESR1	9606.ENSP00000262367	9606.ENSP00000405330	0	0	0	0	0.062	0.844	0.500	0.921	0.993
CREBBP	TP53	9606.ENSP00000262367	9606.ENSP00000269305	0	0	0	0	0	0.998	0.900	0.996	0.999
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0	0.062	0.956	0.839	0.782	0.900	0.983	0.999
CSF1R	PIK3R1	9606.ENSP00000286301	9606.ENSP00000428056	0	0	0	0	0.072	0.696	0.500	0.532	0.925
CSF1R	RUNX1	9606.ENSP00000286301	9606.ENSP00000300305	0	0	0	0	0.090	0.423	0.900	0.728	0.983
CTCF	EP300	9606.ENSP00000494538	9606.ENSP00000263253	0	0	0	0	0.223	0.330	0.800	0.654	0.959
DNMT3A	H3C2	9606.ENSP00000264709	9606.ENSP00000484841	0	0	0	0	0.093	0.902	0	0.109	0.914
DNMT3A	SETDB1	9606.ENSP00000264709	9606.ENSP00000271640	0	0	0	0	0.058	0.305	0	0.995	0.996
EGFR	KRAS	9606.ENSP00000275493	9606.ENSP00000256078	0	0	0	0	0.053	0.662	0.900	0.918	0.997
EGFR	PIK3CA	9606.ENSP00000275493	9606.ENSP00000263967	0	0	0	0	0	0.790	0.900	0.976	0.999
EGFR	ERBB3	9606.ENSP00000275493	9606.ENSP00000267101	0	0	0.061	0.910	0.042	0.986	0.800	0.984	0.999
EGFR	TP53	9606.ENSP00000275493	9606.ENSP00000269305	0	0	0	0	0	0.329	0	0.919	0.943
EGFR	ERBB2	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0.064	0.939	0.080	0.998	0.900	0.983	0.999
EGFR	PTEN	9606.ENSP00000275493	9606.ENSP00000361021	0	0	0	0	0	0.608	0	0.925	0.969
