#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL2	KRAS	9606.ENSP00000427562	9606.ENSP00000256078	0	0	0	0	0.074	0.195	0	0.289	0.424
ABL2	CREBBP	9606.ENSP00000427562	9606.ENSP00000262367	0	0	0	0	0.299	0.047	0	0.193	0.414
ABL2	ERBB3	9606.ENSP00000427562	9606.ENSP00000267101	0	0	0	0.579	0	0.400	0	0.113	0.445
ABL2	ERBB2	9606.ENSP00000427562	9606.ENSP00000269571	0	0	0.109	0.590	0	0.615	0	0.162	0.687
ABL2	EGFR	9606.ENSP00000427562	9606.ENSP00000275493	0	0	0.125	0.591	0.047	0.709	0	0.208	0.782
ABL2	ERBB4	9606.ENSP00000427562	9606.ENSP00000342235	0	0	0	0.595	0	0.400	0	0.126	0.453
ABL2	JAK2	9606.ENSP00000427562	9606.ENSP00000371067	0	0	0	0.576	0.063	0	0	0.407	0.421
ABL2	MYH11	9606.ENSP00000427562	9606.ENSP00000379616	0	0	0	0	0	0.079	0	0.390	0.414
ABL2	HRAS	9606.ENSP00000427562	9606.ENSP00000407586	0	0	0	0	0.074	0.342	0	0.145	0.435
ABL2	JAK1	9606.ENSP00000427562	9606.ENSP00000499900	0	0	0	0.572	0.062	0.292	0	0.176	0.405
ABL2	ARHGAP35	9606.ENSP00000427562	9606.ENSP00000500409	0	0	0	0	0.042	0.066	0	0.446	0.461
ABL2	PIK3R1	9606.ENSP00000427562	9606.ENSP00000428056	0	0	0	0.552	0	0.185	0	0.421	0.508
ACVR1B	KRAS	9606.ENSP00000442656	9606.ENSP00000256078	0	0	0	0	0.092	0.110	0	0.319	0.401
ACVR1B	SMAD4	9606.ENSP00000442656	9606.ENSP00000341551	0	0	0	0	0.062	0.091	0.500	0.911	0.957
ACVR1B	BRCA2	9606.ENSP00000442656	9606.ENSP00000369497	0	0	0	0	0.043	0	0	0.437	0.438
ACVR1B	ALK	9606.ENSP00000442656	9606.ENSP00000373700	0	0	0	0	0.043	0.092	0	0.929	0.932
AFDN	KRAS	9606.ENSP00000355771	9606.ENSP00000256078	0	0	0	0	0.056	0.252	0.900	0.314	0.945
AFDN	CDH1	9606.ENSP00000355771	9606.ENSP00000261769	0	0	0	0	0.062	0.127	0	0.851	0.867
AFDN	EGFR	9606.ENSP00000355771	9606.ENSP00000275493	0	0	0	0	0.067	0.184	0	0.547	0.625
AFDN	MEN1	9606.ENSP00000355771	9606.ENSP00000337088	0	0	0	0	0.047	0.292	0	0.526	0.652
AFDN	MYH11	9606.ENSP00000355771	9606.ENSP00000379616	0	0	0	0	0.042	0	0	0.413	0.413
AFDN	ARHGEF12	9606.ENSP00000355771	9606.ENSP00000380942	0	0	0	0	0.072	0	0	0.427	0.446
AFDN	HRAS	9606.ENSP00000355771	9606.ENSP00000407586	0	0	0	0	0	0.966	0.900	0.678	0.998
AKAP9	KRAS	9606.ENSP00000348573	9606.ENSP00000256078	0	0	0	0	0.055	0.102	0.400	0.197	0.536
AKAP9	KMT2C	9606.ENSP00000348573	9606.ENSP00000262189	0	0	0	0	0.264	0.070	0	0.258	0.448
AKAP9	FGFR2	9606.ENSP00000348573	9606.ENSP00000410294	0	0	0	0	0.042	0	0	0.447	0.447
AKAP9	JAK2	9606.ENSP00000348573	9606.ENSP00000371067	0	0	0	0	0.058	0.095	0.400	0.077	0.465
AKAP9	HRAS	9606.ENSP00000348573	9606.ENSP00000407586	0	0	0	0	0.055	0.128	0.400	0.186	0.543
AKAP9	BRAF	9606.ENSP00000348573	9606.ENSP00000419060	0	0	0	0	0.095	0.095	0.500	0.680	0.851
AKT1	MYH9	9606.ENSP00000451828	9606.ENSP00000216181	0	0.001	0	0	0.139	0.320	0	0.388	0.610
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0.121	0.797	0.900	0.842	0.996
AKT1	FOXA1	9606.ENSP00000451828	9606.ENSP00000250448	0	0	0	0	0.042	0.091	0	0.665	0.683
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	NOTCH2	9606.ENSP00000451828	9606.ENSP00000256646	0	0	0	0	0.125	0.098	0	0.521	0.589
AKT1	CDH1	9606.ENSP00000451828	9606.ENSP00000261769	0	0	0	0	0	0.165	0	0.889	0.903
AKT1	KMT2C	9606.ENSP00000451828	9606.ENSP00000262189	0	0	0	0	0.044	0.045	0	0.399	0.403
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0.080	0.513	0	0.700	0.854
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0.066	0.821	0	0.749	0.954
AKT1	KDR	9606.ENSP00000451828	9606.ENSP00000263923	0	0	0	0.560	0.056	0.074	0	0.701	0.715
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	DNMT3A	9606.ENSP00000451828	9606.ENSP00000264709	0	0	0	0	0.049	0.058	0	0.506	0.518
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.328	0	0.791	0.854
AKT1	RB1	9606.ENSP00000451828	9606.ENSP00000267163	0	0	0	0	0.060	0.045	0	0.576	0.586
AKT1	NCOR1	9606.ENSP00000451828	9606.ENSP00000268712	0	0	0	0	0.049	0.045	0	0.629	0.633
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.561	0.060	0.222	0	0.436	0.552
